C050676A	1976/05/06	20:00:11.6	 46.33	  13.17	 15.0	6.0 	6.5 	6.46760247334	284 	18 	 119	 74 	74 	  81
C051176A	1976/05/11	11:29:06.2	-51.73	 139.71	 15.0	5.6 	6.1 	5.89926784065	271 	73 	-167	177 	77 	 -17
B051176B	1976/05/11	15:50:41.6	-51.67	 140.13	 15.0	5.8 	6.6 	6.34814268198	358 	76 	  11	266 	79 	 166
C051176C	1976/05/11	16:59:48.2	 36.99	  20.13	 15.1	5.8 	6.4 	6.41998285713	339 	14 	 110	139 	77 	  85
C051576A	1976/05/15	21:55:58.5	-11.72	 -74.26	 25.5	6.0 	6.6 	6.74498929614	153 	15 	  77	347 	76 	  93
C051776A	1976/05/17	02:58:40.6	 40.42	  63.46	 15.0	6.3 	7.0 	6.69741869045	225 	36 	  85	 51 	54 	  93
C051876A	1976/05/18	06:04:47.0	-60.73	 153.75	 25.8	5.3 	6.2 	6.36032095798	158 	76 	  -2	248 	88 	-166
C052976A	1976/05/29	12:23:18.7	 24.39	  98.65	 15.0	6.1 	6.9 	6.65757322045	323 	80 	-172	232 	82 	 -10
B052976B	1976/05/29	14:00:18.5	 24.29	  98.58	 15.0	6.0 	7.0 	6.63281201511	242 	88 	   0	152 	90 	 178
C053076A	1976/05/30	03:08:54.2	-42.06	 -75.94	 15.0	6.0 	5.9 	6.08696594759	187 	44 	-101	 23 	47 	 -79
C053176A	1976/05/31	05:08:28.5	 24.26	  98.60	 15.0	5.5 	6.2 	6.07479173627	342 	72 	-169	249 	80 	 -18
C060376A	1976/06/03	16:44:38.8	 -4.75	 153.47	 85.9	6.2 	0.0 	7.12260238618	143 	31 	  83	331 	59 	  94
C060576A	1976/06/05	08:20:07.2	-10.15	 160.93	 47.4	6.2 	0.0 	6.25997231962	148 	44 	 113	298 	50 	  69
C060776A	1976/06/07	07:36:55.4	 14.23	 125.07	 24.4	6.1 	6.4 	6.54779098366	249 	67 	 180	339 	90 	  23
C060776B	1976/06/07	14:26:39.1	 17.22	-100.91	 29.0	6.1 	6.4 	6.42159583988	289 	18 	  83	116 	72 	  92
C061576A	1976/06/15	06:09:01.8	  0.54	 134.84	 20.2	6.0 	6.3 	6.44821447115	 86 	87 	  -1	176 	89 	-177
B061776A	1976/06/17	14:28:49.2	 46.05	  12.50	 45.5	6.1 	0.0 	5.16709749012	 58 	55 	  37	305 	60 	 139
C061976A	1976/06/19	15:00:46.7	-17.58	  65.59	 16.2	5.6 	6.1 	6.37454179036	 59 	86 	   2	329 	88 	 176
C062076A	1976/06/20	20:53:13.4	  3.18	  96.24	 19.1	6.3 	7.0 	6.96681890204	338 	28 	  99	147 	62 	  85
